,EDAD,CLUSTER,SEXO,COUNT,SEMANA
610,20,Consulta,M,28402,37
611,20,Consulta,M,7118,38
612,20,Contacto,F,28,35
613,20,Contacto,F,41,36
614,20,Contacto,F,37,37
615,20,Contacto,F,9,38
616,20,Contacto,M,35,35
617,20,Contacto,M,42,36
618,20,Contacto,M,52,37
619,20,Contacto,M,18,38
620,20,Creacion de usuario,F,40,35
621,20,Creacion de usuario,F,67,36
622,20,Creacion de usuario,F,62,37
623,20,Creacion de usuario,F,8,38
624,20,Creacion de usuario,M,96,35
625,20,Creacion de usuario,M,146,36
626,20,Creacion de usuario,M,139,37
627,20,Creacion de usuario,M,25,38
628,20,Inversiones,M,1,36
629,20,Pagos,F,136,35
630,20,Pagos,F,175,36
631,20,Pagos,F,253,37
632,20,Pagos,F,37,38
633,20,Pagos,M,219,35
634,20,Pagos,M,291,36
635,20,Pagos,M,355,37
636,20,Pagos,M,48,38
637,20,Pasos,F,868,35
638,20,Pasos,F,1024,36
639,20,Pasos,F,1161,37
640,20,Pasos,F,244,38
641,20,Pasos,M,917,35
642,20,Pasos,M,1037,36
643,20,Pasos,M,1165,37
644,20,Pasos,M,207,38
645,20,Permisos,F,18,35
646,20,Permisos,F,40,36
647,20,Permisos,F,43,37
648,20,Permisos,F,4,38
649,20,Permisos,M,35,35
650,20,Permisos,M,75,36
651,20,Permisos,M,54,37
652,20,Permisos,M,6,38
653,20,Retiro,F,397,35
654,20,Retiro,F,508,36
655,20,Retiro,F,560,37
656,20,Retiro,F,87,38
657,20,Retiro,M,607,35
658,20,Retiro,M,707,36
659,20,Retiro,M,793,37
660,20,Retiro,M,125,38
661,20,Servicios,F,922,35
662,20,Servicios,F,1178,36
663,20,Servicios,F,1310,37
664,20,Servicios,F,261,38
665,20,Servicios,M,1040,35
666,20,Servicios,M,1429,36
667,20,Servicios,M,1480,37
668,20,Servicios,M,304,38
669,20,Transferencias,F,3289,35
670,20,Transferencias,F,3971,36
671,20,Transferencias,F,4427,37
672,20,Transferencias,F,758,38
673,20,Transferencias,M,4224,35
674,20,Transferencias,M,5007,36
675,20,Transferencias,M,5511,37
676,20,Transferencias,M,810,38
677,21,Administracion,F,11793,35
678,21,Administracion,F,13280,36
679,21,Administracion,F,14142,37
680,21,Administracion,F,4280,38
681,21,Administracion,M,16370,35
682,21,Administracion,M,18614,36
683,21,Administracion,M,19795,37
684,21,Administracion,M,5704,38
685,21,Consulta,F,20699,35
686,21,Consulta,F,23491,36
687,21,Consulta,F,25203,37
688,21,Consulta,F,6961,38
689,21,Consulta,M,27876,35
690,21,Consulta,M,31881,36
691,21,Consulta,M,34074,37
692,21,Consulta,M,8767,38
693,21,Contacto,F,31,35
694,21,Contacto,F,50,36
695,21,Contacto,F,52,37
696,21,Contacto,F,4,38
697,21,Contacto,M,50,35
698,21,Contacto,M,83,36
699,21,Contacto,M,70,37
700,21,Contacto,M,18,38
701,21,Creacion de usuario,F,51,35
702,21,Creacion de usuario,F,107,36
703,21,Creacion de usuario,F,84,37
704,21,Creacion de usuario,F,14,38
705,21,Creacion de usuario,M,100,35
706,21,Creacion de usuario,M,131,36
707,21,Creacion de usuario,M,175,37
708,21,Creacion de usuario,M,27,38
709,21,Inversiones,M,1,36
710,21,Pagos,F,196,35
711,21,Pagos,F,292,36
712,21,Pagos,F,361,37
713,21,Pagos,F,51,38
714,21,Pagos,M,295,35
715,21,Pagos,M,427,36
716,21,Pagos,M,524,37
717,21,Pagos,M,68,38
718,21,Pasos,F,1223,35
719,21,Pasos,F,1369,36
720,21,Pasos,F,1594,37
721,21,Pasos,F,326,38
722,21,Pasos,M,1171,35
723,21,Pasos,M,1432,36
724,21,Pasos,M,1594,37
725,21,Pasos,M,294,38
726,21,Permisos,F,22,35
727,21,Permisos,F,45,36
728,21,Permisos,F,37,37
729,21,Permisos,F,5,38
730,21,Permisos,M,49,35
731,21,Permisos,M,59,36
732,21,Permisos,M,68,37
733,21,Permisos,M,7,38
734,21,Retiro,F,538,35
735,21,Retiro,F,665,36
736,21,Retiro,F,717,37
737,21,Retiro,F,138,38
738,21,Retiro,M,753,35
739,21,Retiro,M,906,36
740,21,Retiro,M,981,37
741,21,Retiro,M,148,38
742,21,Servicios,F,1051,35
743,21,Servicios,F,1427,36
744,21,Servicios,F,1587,37
745,21,Servicios,F,326,38
746,21,Servicios,M,1220,35
747,21,Servicios,M,1659,36
748,21,Servicios,M,1820,37
749,21,Servicios,M,339,38
750,21,Transferencias,F,4173,35
751,21,Transferencias,F,4868,36
752,21,Transferencias,F,5555,37
753,21,Transferencias,F,912,38
754,21,Transferencias,M,5004,35
755,21,Transferencias,M,6020,36
756,21,Transferencias,M,6804,37
757,21,Transferencias,M,1001,38
758,22,Administracion,F,14002,35
759,22,Administracion,F,15721,36
