,SEMANA,NOMBRESERVICIO,CLUSTER,COUNT,percent
74,36,Cambio De NIP TDD,Administracion,1321,7.786974778572273e-05
75,37,Cambio De NIP TDD,Administracion,1262,7.439184080664806e-05
76,38,Cambio De NIP TDD,Administracion,219,1.2909519125717849e-05
77,35,Cambio de Información Personal,Administracion,453,2.6703251890183494e-05
78,36,Cambio de Información Personal,Administracion,783,4.615595194263505e-05
79,37,Cambio de Información Personal,Administracion,679,4.0025404047316984e-05
80,38,Cambio de Información Personal,Administracion,136,8.016870324646701e-06
81,35,Cancelacion Tarjeta Digital TDC,Administracion,51,3.006326371742513e-06
82,36,Cancelacion Tarjeta Digital TDC,Administracion,126,7.427394565481502e-06
83,37,Cancelacion Tarjeta Digital TDC,Administracion,136,8.016870324646701e-06
84,38,Cancelacion Tarjeta Digital TDC,Administracion,19,1.1200039424138772e-06
85,35,Cancelacion Tarjeta Digital TDD,Administracion,133,7.840027596897142e-06
86,36,Cancelacion Tarjeta Digital TDD,Administracion,198,1.1671620031470931e-05
87,37,Cancelacion Tarjeta Digital TDD,Administracion,273,1.6092688225209923e-05
88,38,Cancelacion Tarjeta Digital TDD,Administracion,47,2.7705360680764332e-06
89,35,Cancelar Protección de Cheque,Administracion,2,1.1789515183303971e-07
90,36,Cancelar Protección de Cheque,Administracion,3,1.7684272774955958e-07
91,37,Cancelar Protección de Cheque,Administracion,2,1.1789515183303971e-07
92,35,Cancelar Servicio de Protección de Cheque,Administracion,1,5.894757591651986e-08
93,36,Cancelar Servicio de Protección de Cheque,Administracion,1,5.894757591651986e-08
94,37,Cancelar Servicio de Protección de Cheque,Administracion,3,1.7684272774955958e-07
95,35,Cancelar TDD,Administracion,990,5.835810015735466e-05
96,36,Cancelar TDD,Administracion,1317,7.763395748205665e-05
97,37,Cancelar TDD,Administracion,1290,7.604237293231062e-05
98,38,Cancelar TDD,Administracion,156,9.195821842977098e-06
99,35,Casa de Bolsa - Mostrar/Ocultar Contrato,Administracion,768,4.527173830388725e-05
100,36,Casa de Bolsa - Mostrar/Ocultar Contrato,Administracion,949,5.5941249544777344e-05
101,37,Casa de Bolsa - Mostrar/Ocultar Contrato,Administracion,857,5.051807256045752e-05
102,38,Casa de Bolsa - Mostrar/Ocultar Contrato,Administracion,169,9.962140329891855e-06
103,35,Desbloqueo Tarjeta Digital TDC,Administracion,150,8.84213638747798e-06
104,36,Desbloqueo Tarjeta Digital TDC,Administracion,351,2.069059914669847e-05
105,37,Desbloqueo Tarjeta Digital TDC,Administracion,328,1.9334804900618512e-05
106,38,Desbloqueo Tarjeta Digital TDC,Administracion,49,2.888431219909473e-06
107,35,Desbloqueo Tarjeta Digital TDD,Administracion,173,1.0197930633557935e-05
108,36,Desbloqueo Tarjeta Digital TDD,Administracion,282,1.66232164084586e-05
109,37,Desbloqueo Tarjeta Digital TDD,Administracion,292,1.72126921676238e-05
110,38,Desbloqueo Tarjeta Digital TDD,Administracion,61,3.5958021309077113e-06
111,36,Descargar Estado De Cuenta,Administracion,16,9.431612146643177e-07
112,37,Descargar Estado De Cuenta,Administracion,1,5.894757591651986e-08
113,35,Descargar estado de cuenta,Administracion,5711,0.0003366496060592449
114,36,Descargar estado de cuenta,Administracion,12357,0.0007284151956004359
115,37,Descargar estado de cuenta,Administracion,10498,0.0006188316519716255
116,38,Descargar estado de cuenta,Administracion,2349,0.00013846785582790515
117,35,Detalle de Cobro CoDi,Administracion,2,1.1789515183303971e-07
118,36,Detalle de Cobro CoDi,Administracion,4,2.3579030366607943e-07
119,37,Detalle de Cobro CoDi,Administracion,1,5.894757591651986e-08
120,35,Generacion Codigo Recuperacion Usuario,Administracion,4,2.3579030366607943e-07
121,36,Generacion Codigo Recuperacion Usuario,Administracion,2,1.1789515183303971e-07
122,37,Generacion Codigo Recuperacion Usuario,Administracion,2,1.1789515183303971e-07
123,35,Generacion Tarjeta Digital TDC,Administracion,378,2.2282183696444508e-05
124,36,Generacion Tarjeta Digital TDC,Administracion,673,3.9671718591817866e-05
125,37,Generacion Tarjeta Digital TDC,Administracion,570,3.360011827241632e-05
126,38,Generacion Tarjeta Digital TDC,Administracion,71,4.18527789007291e-06
127,35,Generacion Tarjeta Digital TDD,Administracion,1025,6.0421265314432855e-05
128,36,Generacion Tarjeta Digital TDD,Administracion,1607,9.472875449784741e-05
129,37,Generacion Tarjeta Digital TDD,Administracion,1616,9.525928268109609e-05
130,38,Generacion Tarjeta Digital TDD,Administracion,221,1.3027414277550889e-05
131,35,Mis Cuentas con o sin Chequera,Administracion,439240,0.025892133245572182
132,36,Mis Cuentas con o sin Chequera,Administracion,506823,0.029875987268738344
133,37,Mis Cuentas con o sin Chequera,Administracion,593115,0.03496269148972667
134,38,Mis Cuentas con o sin Chequera,Administracion,135352,0.007978672295452795
135,35,Reconocimiento Facial Activar/Desactivar,Administracion,22,1.2968466701634368e-06
136,36,Reconocimiento Facial Activar/Desactivar,Administracion,1716,0.00010115404027274808
137,37,Reconocimiento Facial Activar/Desactivar,Administracion,2335,0.00013764258976507388
138,38,Reconocimiento Facial Activar/Desactivar,Administracion,250,1.4736893979129965e-05
139,35,Reconocimiento Facial Eliminar,Administracion,2,1.1789515183303971e-07
140,36,Reconocimiento Facial Eliminar,Administracion,4,2.3579030366607943e-07
141,37,Reconocimiento Facial Eliminar,Administracion,2,1.1789515183303971e-07
142,35,Recuperacion de Usuario,Administracion,2,1.1789515183303971e-07
143,35,Registro Cuenta CoDi,Administracion,124,7.3094994136484625e-06
144,36,Registro Cuenta CoDi,Administracion,184,1.0846353968639655e-05
145,37,Registro Cuenta CoDi,Administracion,232,1.3675837612632607e-05
146,38,Registro Cuenta CoDi,Administracion,23,1.3557942460799568e-06
147,35,Reportar Cheque Extraviado,Administracion,1,5.894757591651986e-08
148,35,Reposicion de TDC,Administracion,37,2.181060308911235e-06
149,36,Reposicion de TDC,Administracion,80,4.715806073321589e-06
150,37,Reposicion de TDC,Administracion,69,4.0673827382398705e-06
151,38,Reposicion de TDC,Administracion,15,8.842136387477979e-07
152,35,Reposicion de TDD,Administracion,40,2.3579030366607944e-06
153,36,Reposicion de TDD,Administracion,70,4.12633031415639e-06
154,37,Reposicion de TDD,Administracion,68,4.0084351623233505e-06
155,38,Reposicion de TDD,Administracion,4,2.3579030366607943e-07
156,36,Sincronizar Token Celular,Administracion,7,4.12633031415639e-07
157,37,Sincronizar Token Celular,Administracion,6,3.5368545549911916e-07
158,38,Sincronizar Token Celular,Administracion,1,5.894757591651986e-08
159,35,Solicitud De Chequera,Administracion,2,1.1789515183303971e-07
160,36,Solicitud De Chequera,Administracion,4,2.3579030366607943e-07
161,37,Solicitud De Chequera,Administracion,4,2.3579030366607943e-07
162,35,Todas Mis Cuentas,Administracion,875059,0.05158260683393395
163,36,Todas Mis Cuentas,Administracion,968614,0.05709744729880396
164,37,Todas Mis Cuentas,Administracion,1024998,0.06042114741928102
165,38,Todas Mis Cuentas,Administracion,380110,0.022406563081628365
166,35,Validar Codigo Recuperar Usuario,Administracion,4,2.3579030366607943e-07
167,36,Validar Codigo Recuperar Usuario,Administracion,2,1.1789515183303971e-07
168,37,Validar Codigo Recuperar Usuario,Administracion,2,1.1789515183303971e-07
169,35,Vinculacion de TDD Universal,Administracion,208,1.226109579063613e-05
170,36,Vinculacion de TDD Universal,Administracion,363,2.139797005769671e-05
171,37,Vinculacion de TDD Universal,Administracion,373,2.1987445816861907e-05
172,38,Vinculacion de TDD Universal,Administracion,54,3.1831690994920725e-06
173,35,Aclaraciones por fraudes y controversias para TDC,Consulta,27,1.5915845497460362e-06
174,36,Aclaraciones por fraudes y controversias para TDC,Consulta,51,3.006326371742513e-06
175,37,Aclaraciones por fraudes y controversias para TDC,Consulta,51,3.006326371742513e-06
176,38,Aclaraciones por fraudes y controversias para TDC,Consulta,8,4.7158060733215886e-07
177,35,Cheques Banorte Consulta,Consulta,127,7.486342141398022e-06
178,36,Cheques Banorte Consulta,Consulta,217,1.2791623973884809e-05
179,37,Cheques Banorte Consulta,Consulta,218,1.2850571549801328e-05
180,38,Cheques Banorte Consulta,Consulta,60,3.5368545549911917e-06
181,35,Consulta Comprobante De Operaciones,Consulta,22653,0.0013353394372369242
182,36,Consulta Comprobante De Operaciones,Consulta,30906,0.0018218337812759627
183,37,Consulta Comprobante De Operaciones,Consulta,33408,0.0019693206162190954
184,38,Consulta Comprobante De Operaciones,Consulta,5481,0.00032309166359844536
185,35,Consulta General De Promociones Vigentes,Consulta,871763,0.0513883156237131
186,36,Consulta General De Promociones Vigentes,Consulta,964577,0.05685947593482898
187,37,Consulta General De Promociones Vigentes,Consulta,1020915,0.06018046446681387
188,38,Consulta General De Promociones Vigentes,Consulta,378592,0.022317080661387087
189,35,Consulta Proteccion de cheque,Consulta,126,7.427394565481502e-06
190,36,Consulta Proteccion de cheque,Consulta,215,1.2673728822051769e-05
191,37,Consulta Proteccion de cheque,Consulta,217,1.2791623973884809e-05
192,38,Consulta Proteccion de cheque,Consulta,60,3.5368545549911917e-06
193,35,Consulta de Aclaraciones,Consulta,897,5.2875975597118314e-05
194,36,Consulta de Aclaraciones,Consulta,1440,8.48845093197886e-05
195,37,Consulta de Aclaraciones,Consulta,1584,9.337296025176745e-05
196,38,Consulta de Aclaraciones,Consulta,479,2.8235888864013013e-05
197,35,Consulta de Estatus de Cheques,Consulta,2,1.1789515183303971e-07
198,36,Consulta de Estatus de Cheques,Consulta,6,3.5368545549911916e-07
199,35,Consulta de Información Personal,Consulta,472136,0.02783127270292202
200,36,Consulta de Información Personal,Consulta,548493,0.03233233275717973
201,37,Consulta de Información Personal,Consulta,611692,0.03605776060752786
202,38,Consulta de Información Personal,Consulta,154950,0.009133926888264752
203,35,Consulta de Movimientos Pasados,Consulta,437268,0.025775888625864805
204,36,Consulta de Movimientos Pasados,Consulta,504439,0.02973545624775336
205,37,Consulta de Movimientos Pasados,Consulta,590902,0.03483224050422342
206,38,Consulta de Movimientos Pasados,Consulta,134968,0.007956036426300852
207,35,Consulta de Recompensas TDC,Consulta,80270,0.004731721918819049
208,36,Consulta de Recompensas TDC,Consulta,106026,0.006249975684124934
209,37,Consulta de Recompensas TDC,Consulta,111482,0.006571593658325467
210,38,Consulta de Recompensas TDC,Consulta,30266,0.00178410733268939
211,35,Consulta de Referencias Retiro sin Plástico,Consulta,991,5.841704773327118e-05
212,36,Consulta de Referencias Retiro sin Plástico,Consulta,1221,7.197499019407075e-05
213,37,Consulta de Referencias Retiro sin Plástico,Consulta,1267,7.468657868623066e-05
214,38,Consulta de Referencias Retiro sin Plástico,Consulta,133,7.840027596897142e-06
215,35,Consulta de Tracking TDC,Consulta,455569,0.026854688212713036
216,36,Consulta de Tracking TDC,Consulta,520456,0.03067961957120826
217,37,Consulta de Tracking TDC,Consulta,583317,0.03438512314089661
218,38,Consulta de Tracking TDC,Consulta,148120,0.00873131494475492
219,35,Consulta de movimientos fondos,Consulta,75,4.42106819373899e-06
220,36,Consulta de movimientos fondos,Consulta,196,1.1553724879637891e-05
221,37,Consulta de movimientos fondos,Consulta,105,6.189495471234585e-06
222,38,Consulta de movimientos fondos,Consulta,36,2.122112732994715e-06
223,35,Consulta de saldos de pagare,Consulta,37,2.181060308911235e-06
224,36,Consulta de saldos de pagare,Consulta,113,6.661076078566744e-06
225,37,Consulta de saldos de pagare,Consulta,74,4.36212061782247e-06
226,38,Consulta de saldos de pagare,Consulta,21,1.237899094246917e-06
227,35,Consulta de saldos fondos,Consulta,115,6.778971230399783e-06
228,36,Consulta de saldos fondos,Consulta,195,1.1494777303721372e-05
229,37,Consulta de saldos fondos,Consulta,162,9.549507298476216e-06
230,38,Consulta de saldos fondos,Consulta,35,2.063165157078195e-06
231,35,Portabilidad de Nómina Consulta de Solicitudes,Consulta,1140,6.720023654483264e-05
232,36,Portabilidad de Nómina Consulta de Solicitudes,Consulta,1763,0.00010392457634082451
233,37,Portabilidad de Nómina Consulta de Solicitudes,Consulta,1894,0.0001116467087858886
234,38,Portabilidad de Nómina Consulta de Solicitudes,Consulta,278,1.638742610479252e-05
235,35,Contacto Por Llamada(Llamar Ahora),Contacto,2386,0.0001406489161368164
236,36,Contacto Por Llamada(Llamar Ahora),Contacto,3818,0.00022506184484927282
237,37,Contacto Por Llamada(Llamar Ahora),Contacto,3830,0.00022576921576027104
238,38,Contacto Por Llamada(Llamar Ahora),Contacto,835,4.922122589029408e-05
239,35,Contacto Por Llamada(Programar Llamada),Contacto,113,6.661076078566744e-06
240,36,Contacto Por Llamada(Programar Llamada),Contacto,166,9.785297602142296e-06
241,37,Contacto Por Llamada(Programar Llamada),Contacto,175,1.0315825785390975e-05
242,38,Contacto Por Llamada(Programar Llamada),Contacto,40,2.3579030366607944e-06
243,35,Contacto Por Llamada(Que Me Llames Ahora),Contacto,1092,6.437075290083969e-05
244,36,Contacto Por Llamada(Que Me Llames Ahora),Contacto,1650,9.726350026225776e-05
245,37,Contacto Por Llamada(Que Me Llames Ahora),Contacto,1547,9.119189994285621e-05
246,38,Contacto Por Llamada(Que Me Llames Ahora),Contacto,308,1.8155853382288115e-05
247,35,Contacto por Correo Electrónico,Contacto,111,6.543180926733704e-06
248,36,Contacto por Correo Electrónico,Contacto,211,1.243793851838569e-05
249,37,Contacto por Correo Electrónico,Contacto,222,1.3086361853467408e-05
250,38,Contacto por Correo Electrónico,Contacto,30,1.7684272774955958e-06
251,35,Finalizar Enrolamiento Paypal,Creacion de usuario,29,1.7094797015790758e-06
252,36,Finalizar Enrolamiento Paypal,Creacion de usuario,66,3.8905400104903105e-06
253,37,Finalizar Enrolamiento Paypal,Creacion de usuario,83,4.892648801071148e-06
254,38,Finalizar Enrolamiento Paypal,Creacion de usuario,10,5.894757591651986e-07
255,35,Iniciar Enrolamiento Paypal,Creacion de usuario,71,4.18527789007291e-06
256,36,Iniciar Enrolamiento Paypal,Creacion de usuario,205,1.208425306288657e-05
257,37,Iniciar Enrolamiento Paypal,Creacion de usuario,172,1.0138983057641416e-05
258,38,Iniciar Enrolamiento Paypal,Creacion de usuario,20,1.1789515183303972e-06
259,35,Inicio Autenticación Incode,Creacion de usuario,8,4.7158060733215886e-07
260,35,Inicio de Migración a BMF,Creacion de usuario,4981,0.0002936178756401854
261,36,Inicio de Migración a BMF,Creacion de usuario,8230,0.0004851385497929584
262,37,Inicio de Migración a BMF,Creacion de usuario,8183,0.000482368013724882
263,38,Inicio de Migración a BMF,Creacion de usuario,1372,8.087607415746525e-05
264,35,Inicio de Migración de N2 a N4,Creacion de usuario,1,5.894757591651986e-08
265,36,Inicio de Migración de N2 a N4,Creacion de usuario,1,5.894757591651986e-08
266,37,Inicio de Migración de N2 a N4,Creacion de usuario,2,1.1789515183303971e-07
267,35,Inicio de flujo New to Bank,Creacion de usuario,376,2.2164288544611466e-05
268,36,Inicio de flujo New to Bank,Creacion de usuario,464,2.7351675225265213e-05
269,37,Inicio de flujo New to Bank,Creacion de usuario,502,2.959168311009297e-05
270,38,Inicio de flujo New to Bank,Creacion de usuario,74,4.36212061782247e-06
271,35,Portabilidad de Nómina Recibir de Otro Banco,Creacion de usuario,57,3.360011827241632e-06
272,36,Portabilidad de Nómina Recibir de Otro Banco,Creacion de usuario,81,4.774753649238108e-06
273,37,Portabilidad de Nómina Recibir de Otro Banco,Creacion de usuario,97,5.7179148639024265e-06
274,38,Portabilidad de Nómina Recibir de Otro Banco,Creacion de usuario,5,2.947378795825993e-07
275,35,Verificacion Cuenta CoDi,Creacion de usuario,44,2.5936933403268736e-06
276,36,Verificacion Cuenta CoDi,Creacion de usuario,60,3.5368545549911917e-06
277,37,Verificacion Cuenta CoDi,Creacion de usuario,97,5.7179148639024265e-06
278,38,Verificacion Cuenta CoDi,Creacion de usuario,5,2.947378795825993e-07
279,36,Inversiones Retiro PFisicas,Inversiones,5,2.947378795825993e-07
280,36,Venta de Fondos,Inversiones,5,2.947378795825993e-07
281,35,Autoprogramacion de pago de TDC,Pagos,1709,0.00010074140724133244
282,36,Autoprogramacion de pago de TDC,Pagos,932,5.493914075419651e-05
283,37,Autoprogramacion de pago de TDC,Pagos,1415,8.34108199218756e-05
284,35,Depósito de Cheques Banorte,Pagos,19,1.1200039424138772e-06
285,36,Depósito de Cheques Banorte,Pagos,19,1.1200039424138772e-06
286,37,Depósito de Cheques Banorte,Pagos,28,1.650532125662556e-06
287,38,Depósito de Cheques Banorte,Pagos,3,1.7684272774955958e-07
288,35,Diferir Compra De TDC A MSI O MCI,Pagos,221,1.3027414277550889e-05
289,36,Diferir Compra De TDC A MSI O MCI,Pagos,250,1.4736893979129965e-05
290,37,Diferir Compra De TDC A MSI O MCI,Pagos,263,1.550321246604472e-05
291,38,Diferir Compra De TDC A MSI O MCI,Pagos,22,1.2968466701634368e-06
