,SEMANA,NOMBRESERVICIO,CLUSTER,COUNT,percent
350,35,Geo Localización(Ubicación),Permisos,2,1.1789515183303971e-07
351,36,Geo Localización(Ubicación),Permisos,624,3.678328737190839e-05
352,37,Geo Localización(Ubicación),Permisos,768,4.527173830388725e-05
353,38,Geo Localización(Ubicación),Permisos,106,6.248443047151105e-06
354,35,Habilitar/Deshabilitar Notificaciones Push,Permisos,4513,0.0002660304101112541
355,36,Habilitar/Deshabilitar Notificaciones Push,Permisos,5009,0.00029526840776584795
356,37,Habilitar/Deshabilitar Notificaciones Push,Permisos,4863,0.0002866620616820361
357,38,Habilitar/Deshabilitar Notificaciones Push,Permisos,461,2.7174832497515654e-05
358,35,Disposicion de TDC a cuenta de debito,Retiro,571,3.365906584833284e-05
359,36,Disposicion de TDC a cuenta de debito,Retiro,1223,7.209288534590378e-05
360,37,Disposicion de TDC a cuenta de debito,Retiro,986,5.812230985368858e-05
361,38,Disposicion de TDC a cuenta de debito,Retiro,167,9.844245178058817e-06
362,35,Generación de Referencia para Retiro en Cajero Automático,Retiro,46447,0.002737938058594598
363,36,Generación de Referencia para Retiro en Cajero Automático,Retiro,58393,0.0034421258004933442
364,37,Generación de Referencia para Retiro en Cajero Automático,Retiro,66373,0.0039125274563071724
365,38,Generación de Referencia para Retiro en Cajero Automático,Retiro,12362,0.0007287099334800185
366,35,Compra de Tiempo Aire,Servicios,90486,0.005333930354382216
367,36,Compra de Tiempo Aire,Servicios,127825,0.007534973891529151
368,37,Compra de Tiempo Aire,Servicios,143046,0.0084322149445545
369,38,Compra de Tiempo Aire,Servicios,33924,0.00199973756539202
370,35,Cuentas Banorte / Traspasos cuentas propias,Transferencias,7121,0.0004197656881015379
371,36,Cuentas Banorte / Traspasos cuentas propias,Transferencias,9935,0.0005856441667306248
372,37,Cuentas Banorte / Traspasos cuentas propias,Transferencias,10779,0.0006353959208041676
373,38,Cuentas Banorte / Traspasos cuentas propias,Transferencias,1843,0.0001086403824141461
374,35,Transferencias Otros Bancos Nacionales SPEI (Mismo Día),Transferencias,5,2.947378795825993e-07
375,36,Transferencias Otros Bancos Nacionales SPEI (Mismo Día),Transferencias,3,1.7684272774955958e-07
376,37,Transferencias Otros Bancos Nacionales SPEI (Mismo Día),Transferencias,21,1.237899094246917e-06
377,38,Transferencias Otros Bancos Nacionales SPEI (Mismo Día),Transferencias,3,1.7684272774955958e-07
378,36,Transferencias Otros Bancos Nacionales TEF (Próximo día hábil),Transferencias,5,2.947378795825993e-07
379,35,Transferencias Rápidas (Exclusivo Banorte Móvil),Transferencias,92590,0.005457956054110574
380,36,Transferencias Rápidas (Exclusivo Banorte Móvil),Transferencias,112480,0.006630423339090153
381,37,Transferencias Rápidas (Exclusivo Banorte Móvil),Transferencias,138520,0.00816541821595633
382,38,Transferencias Rápidas (Exclusivo Banorte Móvil),Transferencias,21757,0.0012825224092157226
383,35,Transferencias Rápidas Otros Bancos,Transferencias,314778,0.018555400051850288
384,36,Transferencias Rápidas Otros Bancos,Transferencias,361283,0.021296757069848044
385,37,Transferencias Rápidas Otros Bancos,Transferencias,423031,0.024936651987541313
386,38,Transferencias Rápidas Otros Bancos,Transferencias,81656,0.004813423259039345
387,36,Transferencias a Cuentas de Terceros Banorte / Ixe,Transferencias,5,2.947378795825993e-07
388,37,Transferencias a Cuentas de Terceros Banorte / Ixe,Transferencias,2,1.1789515183303971e-07
389,38,Transferencias a Cuentas de Terceros Banorte / Ixe,Transferencias,5,2.947378795825993e-07
